poolname,pool address,token0Symbol,token1Symbol,totalToken0Fee,totalToken1Fee,medianToken0Fee,medianToken1Fee,stdevToken0Fee,stdevToken1Fee,priceWETH,totalFeesWETH
UniV2-WISE-WETH,0x21b8065d10f73EE2e260e5B47D3344d3Ced7596E,WISE,WETH,566.9936993029062,0.00892422375,148.92372839730098,1.486875e-06,86.50980472113066,0.00446012959530225,12611.968087246023,0.05388102156146007
UniV2-USDC-WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,USDC,WETH,18928.660900557057,13.323501267023026,4939.480988973017,3.180348756849211,3703.793015311277,2.8632898725826967,1505.8165377590637,25.893864538983394
UniV2-WETH-USDT,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,WETH,USDT,8.255022865612403,12004.363390641029,2.252441499938236,3469.932452503509,1.5474785302867393,2138.7344811850553,1495.6943278138515,16.280969857192524
UniV2-DAI-WETH,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,DAI,WETH,1540.7718054818565,1.1707910989105748,388.42670815051997,0.23132706645176587,313.0588151610236,0.3005254093359481,1505.3143684717488,2.1943459375228613
UniV2-MC-WETH,0xcCb63225a7B19dcF66717e4d40C9A72B39331d61,MC,WETH,7104.770538673616,1.0438747494663585,1373.1464464015266,0.25888434135973204,1933.558359680962,0.22752148316393672,4807.876613056179,2.5216103717533436
UniV2-XXi-WETH,0x0aF81CD5D9C124b4859D65697A4Cd10EE223746a,XXi,WETH,0,4.5e-06,0.0,2.25e-06,0.0,6.363961030678927e-07,581.4372222222221,4.5e-06
UniV2-UNI-WETH,0xd3d2E2692501A5c9Ca623199D38826e513033a17,UNI,WETH,71.82349890804416,0.3781507193543579,16.79038380062886,0.08235431075684532,17.041202267125588,0.07519453853388372,239.52123082749202,0.678013485840277
UniV2-WETH-CAW,0x48D20b3e529fB3DD7D91293f80638dF582AB2Daa,WETH,CAW,0.5828282898548565,13435365653.526604,0.17023793079073266,3637523658.218889,0.11239891093844372,2546371053.948691,26450633129.294666,1.0907694641871502
UniV2-WBTC-WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,WBTC,WETH,0.0083419983,0.21470643876504072,0.0023151615149999997,0.05810714181609275,0.0015590293589320446,0.041893683409927655,0.06911852302856966,0.3353976505340175
UniV2-ELON-WETH,0x7B73644935b8e68019aC6356c40661E1bc315860,ELON,WETH,3942261413.9657974,1.4260998102562756,1198326775.9366548,0.31355367833859993,705095924.2572124,0.3340833885728179,3983121009.9007096,2.4158416243178245
UniV2-PAXG-WETH,0x9C4Fe5FFD9A9fC5678cFBd93Aa2D4FD684b67C4C,PAXG,WETH,1.6955022326168256,2.043689244252464,0.15392957410938402,0.17391755851405682,0.6405111564944798,0.7846356296309982,0.8179613941537837,4.116528188406908
UniV2-WAXE-WETH,0x0ee0cb563A52Ae1170Ac34fBb94C50e89aDDE4bD,WAXE,WETH,5.186399434859999,0.1948675965673219,0.7004230724999999,0.015177277966909626,1.7843809863383275,0.07646104814924246,21.05610192891504,0.44118096702730425
UniV2-X2Y2-WETH,0x6033368e4a402605294c91CF5c03d72bd96E7D8D,X2Y2,WETH,59822.27966826565,7.81911634582083,17588.843737417843,2.388445447506053,10590.163363030559,1.3426169595095534,7813.207252277559,15.47567500818415
UniV2-WETH-SUPER,0x25647E01Bd0967C1B9599FA3521939871D1d0888,WETH,SUPER,0.20334154596734974,2731.5067870977946,0.04899404454405275,516.3979345075596,0.03807807892704893,726.2332043459729,12008.274422936318,0.4308102638607799
UniV2-WETH-BTT,0x2D0BA902baDAA82592f0E1C04c71d66ceA21D921,WETH,BTT,0.03754048483474397,3508833.119895889,0.008751153418007997,211040.29481062124,0.008895241188509772,1478172.4759708673,2163645490.1165996,0.03916220758735017
UniV2-UFO-WETH,0x97E1FcB93ae7267dBAFaD23f7b9AFAA08264CFd8,UFO,WETH,2903948147.933561,4.984262442780853,138787250.02619627,0.35457583389793623,1269781855.0353692,2.0292439783851015,790584661.5242374,8.657427745956335
UniV2-WETH-SAITAMA,0xE3d3551BB608e7665472180a20280630D9E938aa,WETH,SAITAMA,0,141251.32119021832,0.0,42274.72648803679,0.0,22272.938779141015,,0
UniV2-VOLT-WETH,0x4a08CF0a7bcA217c24b9EE99c0395052f3707d68,VOLT,WETH,501260129.27693605,0.13254521700000002,100635687.45224047,0.009491581500000002,125782843.5373853,0.053808470012564606,836844967.1419197,0.7315332601364628
UniV2-WETH-CULT,0x5281E311734869C64ca60eF047fd87759397EFe6,WETH,CULT,0.6436270268411037,134324710.84685966,0.14413939221215435,39818319.07535654,0.14240912186883797,25261795.90836153,188266043.20952323,1.3571105024425338
